wfName,taskName,nodeName,rank
nfcore/chipseq:1.2.2,BWA_INDEX,m5zn.large,1.0
nfcore/chipseq:1.2.2,BWA_INDEX,c5a.xlarge,2.0
nfcore/chipseq:1.2.2,BWA_INDEX,z1d.large,3.0
nfcore/chipseq:1.2.2,BWA_INDEX,c5.2xlarge,4.0
nfcore/chipseq:1.2.2,BWA_INDEX,c5a.2xlarge,5.0
nfcore/chipseq:1.2.2,BWA_INDEX,m5.large,6.0
nfcore/chipseq:1.2.2,BWA_INDEX,m5zn.2xlarge,7.0
nfcore/chipseq:1.2.2,BWA_INDEX,m5zn.xlarge,8.0
nfcore/chipseq:1.2.2,BWA_INDEX,r5.large,9.0
nfcore/chipseq:1.2.2,BWA_INDEX,z1d.2xlarge,10.0
nfcore/chipseq:1.2.2,BWA_INDEX,d3.xlarge,11.0
nfcore/chipseq:1.2.2,BWA_INDEX,z1d.xlarge,12.0
nfcore/chipseq:1.2.2,BWA_INDEX,m5.xlarge,13.0
nfcore/chipseq:1.2.2,BWA_INDEX,r5a.large,14.0
nfcore/chipseq:1.2.2,BWA_INDEX,r5.xlarge,15.0
nfcore/chipseq:1.2.2,BWA_INDEX,m5a.large,16.0
nfcore/chipseq:1.2.2,BWA_INDEX,r5.2xlarge,17.0
nfcore/chipseq:1.2.2,BWA_INDEX,m5.2xlarge,18.0
nfcore/chipseq:1.2.2,BWA_INDEX,d3.2xlarge,19.0
nfcore/chipseq:1.2.2,BWA_INDEX,c5.xlarge,20.0
nfcore/chipseq:1.2.2,BWA_INDEX,i3.large,21.0
nfcore/chipseq:1.2.2,BWA_INDEX,m5a.xlarge,22.0
nfcore/chipseq:1.2.2,BWA_INDEX,r5a.xlarge,23.0
nfcore/chipseq:1.2.2,BWA_INDEX,i3.2xlarge,24.0
nfcore/chipseq:1.2.2,BWA_INDEX,m5a.2xlarge,25.0
nfcore/chipseq:1.2.2,BWA_INDEX,r5a.2xlarge,26.0
nfcore/chipseq:1.2.2,BWA_INDEX,i3.xlarge,27.0
nfcore/chipseq:1.2.2,BWA_MEM,c5a.xlarge,1.0
nfcore/chipseq:1.2.2,BWA_MEM,c5.2xlarge,2.0
nfcore/chipseq:1.2.2,BWA_MEM,c5a.2xlarge,3.0
nfcore/chipseq:1.2.2,BWA_MEM,m5zn.large,4.0
nfcore/chipseq:1.2.2,BWA_MEM,m5zn.2xlarge,5.0
nfcore/chipseq:1.2.2,BWA_MEM,m5zn.xlarge,6.0
nfcore/chipseq:1.2.2,BWA_MEM,z1d.2xlarge,7.0
nfcore/chipseq:1.2.2,BWA_MEM,c5.xlarge,8.0
nfcore/chipseq:1.2.2,BWA_MEM,z1d.large,9.0
nfcore/chipseq:1.2.2,BWA_MEM,z1d.xlarge,10.0
nfcore/chipseq:1.2.2,BWA_MEM,d3.xlarge,11.0
nfcore/chipseq:1.2.2,BWA_MEM,m5.2xlarge,12.0
nfcore/chipseq:1.2.2,BWA_MEM,r5.2xlarge,13.0
nfcore/chipseq:1.2.2,BWA_MEM,d3.2xlarge,14.0
nfcore/chipseq:1.2.2,BWA_MEM,m5.xlarge,15.0
nfcore/chipseq:1.2.2,BWA_MEM,m5.large,16.0
nfcore/chipseq:1.2.2,BWA_MEM,r5.xlarge,17.0
nfcore/chipseq:1.2.2,BWA_MEM,r5.large,18.0
nfcore/chipseq:1.2.2,BWA_MEM,i3.2xlarge,19.0
nfcore/chipseq:1.2.2,BWA_MEM,i3.large,20.0
nfcore/chipseq:1.2.2,BWA_MEM,r5a.large,21.0
nfcore/chipseq:1.2.2,BWA_MEM,r5a.xlarge,22.0
nfcore/chipseq:1.2.2,BWA_MEM,m5a.large,23.0
nfcore/chipseq:1.2.2,BWA_MEM,m5a.2xlarge,24.0
nfcore/chipseq:1.2.2,BWA_MEM,m5a.xlarge,25.0
