wfName,taskName,nodeName,rank
nfcore/eager:2.3.5,damageprofiler,m5zn.large,1.0
nfcore/eager:2.3.5,damageprofiler,m5zn.xlarge,2.0
nfcore/eager:2.3.5,damageprofiler,m5zn.2xlarge,3.0
nfcore/eager:2.3.5,damageprofiler,z1d.large,4.0
nfcore/eager:2.3.5,damageprofiler,z1d.xlarge,5.0
nfcore/eager:2.3.5,damageprofiler,c5a.xlarge,6.0
nfcore/eager:2.3.5,damageprofiler,c5.xlarge,7.0
nfcore/eager:2.3.5,damageprofiler,z1d.2xlarge,8.0
nfcore/eager:2.3.5,damageprofiler,m5.large,9.0
nfcore/eager:2.3.5,damageprofiler,c5.2xlarge,10.0
nfcore/eager:2.3.5,damageprofiler,d3.xlarge,11.0
nfcore/eager:2.3.5,damageprofiler,c5a.2xlarge,12.0
nfcore/eager:2.3.5,damageprofiler,r5.xlarge,13.0
nfcore/eager:2.3.5,damageprofiler,m5.xlarge,14.0
nfcore/eager:2.3.5,damageprofiler,r5.large,15.0
nfcore/eager:2.3.5,damageprofiler,m5.2xlarge,16.0
nfcore/eager:2.3.5,damageprofiler,r5.2xlarge,17.0
nfcore/eager:2.3.5,damageprofiler,d3.2xlarge,18.0
nfcore/eager:2.3.5,damageprofiler,m5a.large,19.0
nfcore/eager:2.3.5,damageprofiler,r5a.large,20.0
nfcore/eager:2.3.5,damageprofiler,m5a.xlarge,21.0
nfcore/eager:2.3.5,damageprofiler,r5a.xlarge,22.0
nfcore/eager:2.3.5,damageprofiler,i3.large,23.0
nfcore/eager:2.3.5,damageprofiler,m5a.2xlarge,24.0
nfcore/eager:2.3.5,damageprofiler,i3.xlarge,25.0
nfcore/eager:2.3.5,damageprofiler,i3.2xlarge,26.0
nfcore/eager:2.3.5,damageprofiler,r5a.2xlarge,27.0
nfcore/eager:2.3.5,fastqc,z1d.xlarge,1.0
nfcore/eager:2.3.5,fastqc,m5zn.xlarge,2.0
nfcore/eager:2.3.5,fastqc,m5zn.large,3.0
nfcore/eager:2.3.5,fastqc,m5zn.2xlarge,4.0
nfcore/eager:2.3.5,fastqc,c5a.xlarge,5.0
nfcore/eager:2.3.5,fastqc,z1d.large,6.0
nfcore/eager:2.3.5,fastqc,z1d.2xlarge,7.0
nfcore/eager:2.3.5,fastqc,c5.xlarge,8.0
nfcore/eager:2.3.5,fastqc,c5.2xlarge,9.0
nfcore/eager:2.3.5,fastqc,d3.xlarge,10.0
nfcore/eager:2.3.5,fastqc,r5.large,11.0
nfcore/eager:2.3.5,fastqc,m5.large,12.0
nfcore/eager:2.3.5,fastqc,c5a.2xlarge,13.0
nfcore/eager:2.3.5,fastqc,m5.2xlarge,14.0
nfcore/eager:2.3.5,fastqc,r5.xlarge,15.0
nfcore/eager:2.3.5,fastqc,r5.2xlarge,16.0
nfcore/eager:2.3.5,fastqc,m5.xlarge,17.0
nfcore/eager:2.3.5,fastqc,d3.2xlarge,18.0
nfcore/eager:2.3.5,fastqc,m5a.large,19.0
nfcore/eager:2.3.5,fastqc,r5a.large,20.0
nfcore/eager:2.3.5,fastqc,i3.large,21.0
nfcore/eager:2.3.5,fastqc,r5a.xlarge,22.0
nfcore/eager:2.3.5,fastqc,m5a.xlarge,23.0
nfcore/eager:2.3.5,fastqc,r5a.2xlarge,24.0
nfcore/eager:2.3.5,fastqc,m5a.2xlarge,25.0
nfcore/eager:2.3.5,fastqc,i3.2xlarge,26.0
nfcore/eager:2.3.5,fastqc,i3.xlarge,27.0
nfcore/eager:2.3.5,fastqc_after_clipping,m5zn.xlarge,1.0
nfcore/eager:2.3.5,fastqc_after_clipping,m5zn.large,2.0
nfcore/eager:2.3.5,fastqc_after_clipping,m5zn.2xlarge,3.0
nfcore/eager:2.3.5,fastqc_after_clipping,c5.xlarge,4.0
nfcore/eager:2.3.5,fastqc_after_clipping,z1d.xlarge,5.0
nfcore/eager:2.3.5,fastqc_after_clipping,z1d.2xlarge,6.0
nfcore/eager:2.3.5,fastqc_after_clipping,c5a.xlarge,7.0
nfcore/eager:2.3.5,fastqc_after_clipping,c5.2xlarge,8.0
nfcore/eager:2.3.5,fastqc_after_clipping,z1d.large,9.0
nfcore/eager:2.3.5,fastqc_after_clipping,c5a.2xlarge,10.0
nfcore/eager:2.3.5,fastqc_after_clipping,r5.large,11.0
nfcore/eager:2.3.5,fastqc_after_clipping,r5.2xlarge,12.0
nfcore/eager:2.3.5,fastqc_after_clipping,d3.2xlarge,13.0
nfcore/eager:2.3.5,fastqc_after_clipping,m5.2xlarge,14.0
nfcore/eager:2.3.5,fastqc_after_clipping,d3.xlarge,15.0
nfcore/eager:2.3.5,fastqc_after_clipping,m5.large,16.0
nfcore/eager:2.3.5,fastqc_after_clipping,r5.xlarge,17.0
nfcore/eager:2.3.5,fastqc_after_clipping,m5.xlarge,18.0
nfcore/eager:2.3.5,fastqc_after_clipping,r5a.2xlarge,19.0
nfcore/eager:2.3.5,fastqc_after_clipping,i3.2xlarge,20.0
nfcore/eager:2.3.5,fastqc_after_clipping,m5a.xlarge,21.0
nfcore/eager:2.3.5,fastqc_after_clipping,r5a.xlarge,22.0
nfcore/eager:2.3.5,fastqc_after_clipping,r5a.large,23.0
nfcore/eager:2.3.5,fastqc_after_clipping,m5a.large,24.0
nfcore/eager:2.3.5,fastqc_after_clipping,m5a.2xlarge,25.0
nfcore/eager:2.3.5,fastqc_after_clipping,i3.large,26.0
nfcore/eager:2.3.5,fastqc_after_clipping,i3.xlarge,27.0
nfcore/eager:2.3.5,get_software_versions,m5zn.large,1.0
nfcore/eager:2.3.5,get_software_versions,z1d.large,2.0
nfcore/eager:2.3.5,get_software_versions,c5a.xlarge,3.0
nfcore/eager:2.3.5,get_software_versions,m5zn.xlarge,4.0
nfcore/eager:2.3.5,get_software_versions,m5zn.2xlarge,5.0
nfcore/eager:2.3.5,get_software_versions,z1d.xlarge,6.0
nfcore/eager:2.3.5,get_software_versions,z1d.2xlarge,7.0
nfcore/eager:2.3.5,get_software_versions,c5.xlarge,8.0
nfcore/eager:2.3.5,get_software_versions,c5.2xlarge,9.0
nfcore/eager:2.3.5,get_software_versions,c5a.2xlarge,10.0
nfcore/eager:2.3.5,get_software_versions,m5.large,11.0
nfcore/eager:2.3.5,get_software_versions,r5.large,12.0
nfcore/eager:2.3.5,get_software_versions,d3.xlarge,13.0
nfcore/eager:2.3.5,get_software_versions,m5.xlarge,14.0
nfcore/eager:2.3.5,get_software_versions,r5.xlarge,15.0
nfcore/eager:2.3.5,get_software_versions,d3.2xlarge,16.0
nfcore/eager:2.3.5,get_software_versions,r5.2xlarge,17.0
nfcore/eager:2.3.5,get_software_versions,m5.2xlarge,18.0
nfcore/eager:2.3.5,get_software_versions,r5a.large,19.0
nfcore/eager:2.3.5,get_software_versions,m5a.large,20.0
nfcore/eager:2.3.5,get_software_versions,i3.large,21.0
nfcore/eager:2.3.5,get_software_versions,m5a.xlarge,22.0
nfcore/eager:2.3.5,get_software_versions,r5a.xlarge,23.0
nfcore/eager:2.3.5,get_software_versions,m5a.2xlarge,24.0
nfcore/eager:2.3.5,get_software_versions,i3.2xlarge,25.0
nfcore/eager:2.3.5,get_software_versions,r5a.2xlarge,26.0
nfcore/eager:2.3.5,get_software_versions,i3.xlarge,27.0
nfcore/eager:2.3.5,makeSeqDict,m5zn.2xlarge,1.0
nfcore/eager:2.3.5,makeSeqDict,z1d.2xlarge,2.0
nfcore/eager:2.3.5,makeSeqDict,m5zn.large,3.0
nfcore/eager:2.3.5,makeSeqDict,z1d.xlarge,4.0
nfcore/eager:2.3.5,makeSeqDict,c5.xlarge,5.0
nfcore/eager:2.3.5,makeSeqDict,c5a.xlarge,6.0
nfcore/eager:2.3.5,makeSeqDict,c5.2xlarge,7.0
nfcore/eager:2.3.5,makeSeqDict,c5a.2xlarge,8.0
nfcore/eager:2.3.5,makeSeqDict,m5zn.xlarge,9.0
nfcore/eager:2.3.5,makeSeqDict,d3.2xlarge,10.0
nfcore/eager:2.3.5,makeSeqDict,m5.2xlarge,11.0
nfcore/eager:2.3.5,makeSeqDict,d3.xlarge,12.0
nfcore/eager:2.3.5,makeSeqDict,z1d.large,13.0
nfcore/eager:2.3.5,makeSeqDict,r5.2xlarge,14.0
nfcore/eager:2.3.5,makeSeqDict,r5.xlarge,15.0
nfcore/eager:2.3.5,makeSeqDict,m5.xlarge,16.0
nfcore/eager:2.3.5,makeSeqDict,m5.large,17.0
nfcore/eager:2.3.5,makeSeqDict,r5.large,18.0
nfcore/eager:2.3.5,makeSeqDict,m5a.2xlarge,19.0
nfcore/eager:2.3.5,makeSeqDict,i3.2xlarge,20.0
nfcore/eager:2.3.5,makeSeqDict,r5a.2xlarge,21.0
nfcore/eager:2.3.5,makeSeqDict,m5a.large,22.0
nfcore/eager:2.3.5,makeSeqDict,m5a.xlarge,23.0
nfcore/eager:2.3.5,makeSeqDict,r5a.xlarge,24.0
nfcore/eager:2.3.5,makeSeqDict,i3.xlarge,25.0
nfcore/eager:2.3.5,makeSeqDict,r5a.large,26.0
nfcore/eager:2.3.5,makeSeqDict,i3.large,27.0
nfcore/eager:2.3.5,markduplicates,m5zn.large,1.0
nfcore/eager:2.3.5,markduplicates,z1d.large,2.0
nfcore/eager:2.3.5,markduplicates,c5a.xlarge,3.0
nfcore/eager:2.3.5,markduplicates,m5zn.xlarge,4.0
nfcore/eager:2.3.5,markduplicates,z1d.xlarge,5.0
nfcore/eager:2.3.5,markduplicates,m5zn.2xlarge,6.0
nfcore/eager:2.3.5,markduplicates,m5.large,7.0
nfcore/eager:2.3.5,markduplicates,r5.large,8.0
nfcore/eager:2.3.5,markduplicates,c5a.2xlarge,9.0
nfcore/eager:2.3.5,markduplicates,z1d.2xlarge,10.0
nfcore/eager:2.3.5,markduplicates,m5a.large,11.0
nfcore/eager:2.3.5,markduplicates,r5a.large,12.0
nfcore/eager:2.3.5,markduplicates,c5.xlarge,13.0
nfcore/eager:2.3.5,markduplicates,c5.2xlarge,14.0
nfcore/eager:2.3.5,markduplicates,d3.xlarge,15.0
nfcore/eager:2.3.5,markduplicates,m5.xlarge,16.0
nfcore/eager:2.3.5,markduplicates,r5.xlarge,17.0
nfcore/eager:2.3.5,markduplicates,d3.2xlarge,18.0
nfcore/eager:2.3.5,markduplicates,m5a.xlarge,19.0
nfcore/eager:2.3.5,markduplicates,r5a.xlarge,20.0
nfcore/eager:2.3.5,markduplicates,r5.2xlarge,21.0
nfcore/eager:2.3.5,markduplicates,i3.large,22.0
nfcore/eager:2.3.5,markduplicates,m5.2xlarge,23.0
nfcore/eager:2.3.5,markduplicates,m5a.2xlarge,24.0
nfcore/eager:2.3.5,markduplicates,i3.xlarge,25.0
nfcore/eager:2.3.5,markduplicates,r5a.2xlarge,26.0
nfcore/eager:2.3.5,markduplicates,i3.2xlarge,27.0
nfcore/eager:2.3.5,multiqc,m5zn.2xlarge,1.0
nfcore/eager:2.3.5,multiqc,m5zn.large,2.0
nfcore/eager:2.3.5,multiqc,m5zn.xlarge,3.0
nfcore/eager:2.3.5,multiqc,z1d.2xlarge,4.0
nfcore/eager:2.3.5,multiqc,z1d.large,5.0
nfcore/eager:2.3.5,multiqc,z1d.xlarge,6.0
nfcore/eager:2.3.5,multiqc,c5.2xlarge,7.0
nfcore/eager:2.3.5,multiqc,c5a.2xlarge,8.0
nfcore/eager:2.3.5,multiqc,c5a.xlarge,9.0
nfcore/eager:2.3.5,multiqc,c5.xlarge,10.0
nfcore/eager:2.3.5,multiqc,d3.2xlarge,11.0
nfcore/eager:2.3.5,multiqc,d3.xlarge,12.0
nfcore/eager:2.3.5,multiqc,m5.2xlarge,13.0
nfcore/eager:2.3.5,multiqc,r5.2xlarge,14.0
nfcore/eager:2.3.5,multiqc,m5.large,15.0
nfcore/eager:2.3.5,multiqc,r5.large,16.0
nfcore/eager:2.3.5,multiqc,r5.xlarge,17.0
nfcore/eager:2.3.5,multiqc,m5.xlarge,18.0
nfcore/eager:2.3.5,multiqc,i3.2xlarge,19.0
nfcore/eager:2.3.5,multiqc,m5a.2xlarge,20.0
nfcore/eager:2.3.5,multiqc,r5a.2xlarge,21.0
nfcore/eager:2.3.5,multiqc,m5a.large,22.0
nfcore/eager:2.3.5,multiqc,i3.xlarge,23.0
nfcore/eager:2.3.5,multiqc,m5a.xlarge,24.0
nfcore/eager:2.3.5,multiqc,r5a.large,25.0
nfcore/eager:2.3.5,multiqc,r5a.xlarge,26.0
nfcore/eager:2.3.5,multiqc,i3.large,27.0
nfcore/eager:2.3.5,qualimap,m5zn.large,1.0
nfcore/eager:2.3.5,qualimap,z1d.large,2.0
nfcore/eager:2.3.5,qualimap,m5zn.xlarge,3.0
nfcore/eager:2.3.5,qualimap,m5zn.2xlarge,4.0
nfcore/eager:2.3.5,qualimap,z1d.xlarge,5.0
nfcore/eager:2.3.5,qualimap,z1d.2xlarge,6.0
nfcore/eager:2.3.5,qualimap,c5.2xlarge,7.0
nfcore/eager:2.3.5,qualimap,c5.xlarge,8.0
nfcore/eager:2.3.5,qualimap,c5a.2xlarge,9.0
nfcore/eager:2.3.5,qualimap,c5a.xlarge,10.0
nfcore/eager:2.3.5,qualimap,m5.large,11.0
nfcore/eager:2.3.5,qualimap,r5.large,12.0
nfcore/eager:2.3.5,qualimap,d3.xlarge,13.0
nfcore/eager:2.3.5,qualimap,m5.2xlarge,14.0
nfcore/eager:2.3.5,qualimap,d3.2xlarge,15.0
nfcore/eager:2.3.5,qualimap,r5.xlarge,16.0
nfcore/eager:2.3.5,qualimap,r5.2xlarge,17.0
nfcore/eager:2.3.5,qualimap,m5.xlarge,18.0
nfcore/eager:2.3.5,qualimap,r5a.large,19.0
nfcore/eager:2.3.5,qualimap,r5a.xlarge,20.0
nfcore/eager:2.3.5,qualimap,i3.large,21.0
nfcore/eager:2.3.5,qualimap,m5a.large,22.0
nfcore/eager:2.3.5,qualimap,m5a.xlarge,23.0
nfcore/eager:2.3.5,qualimap,i3.xlarge,24.0
nfcore/eager:2.3.5,qualimap,m5a.2xlarge,25.0
nfcore/eager:2.3.5,qualimap,r5a.2xlarge,26.0
nfcore/eager:2.3.5,qualimap,i3.2xlarge,27.0
