wfName,taskName,nodeName,rank
nfcore/methylseq:1.6.1,bismark_align,m5zn.2xlarge,1.0
nfcore/methylseq:1.6.1,bismark_align,m5zn.xlarge,6.0
nfcore/methylseq:1.6.1,bismark_align,m5zn.large,1.0
nfcore/methylseq:1.6.1,bismark_align,z1d.2xlarge,10.0
nfcore/methylseq:1.6.1,bismark_align,c5.2xlarge,4.0
nfcore/methylseq:1.6.1,bismark_align,z1d.xlarge,8.0
nfcore/methylseq:1.6.1,bismark_align,c5.xlarge,20.0
nfcore/methylseq:1.6.1,bismark_align,z1d.large,2.0
nfcore/methylseq:1.6.1,bismark_align,c5a.2xlarge,3.0
nfcore/methylseq:1.6.1,bismark_align,c5a.xlarge,3.0
nfcore/methylseq:1.6.1,bismark_align,d3.2xlarge,16.0
nfcore/methylseq:1.6.1,bismark_align,m5.2xlarge,18.0
nfcore/methylseq:1.6.1,bismark_align,r5.2xlarge,18.0
nfcore/methylseq:1.6.1,bismark_align,d3.xlarge,11.0
nfcore/methylseq:1.6.1,bismark_align,m5.xlarge,15.0
nfcore/methylseq:1.6.1,bismark_align,r5.xlarge,14.0
nfcore/methylseq:1.6.1,bismark_align,r5.large,18.0
nfcore/methylseq:1.6.1,bismark_align,m5.large,14.0
nfcore/methylseq:1.6.1,bismark_align,i3.2xlarge,19.0
nfcore/methylseq:1.6.1,bismark_align,m5a.2xlarge,25.0
nfcore/methylseq:1.6.1,bismark_align,r5a.2xlarge,27.0
nfcore/methylseq:1.6.1,bismark_align,m5a.large,16.0
nfcore/methylseq:1.6.1,bismark_align,r5a.large,14.0
nfcore/methylseq:1.6.1,bismark_align,m5a.xlarge,23.0
nfcore/methylseq:1.6.1,bismark_align,r5a.xlarge,23.0
nfcore/methylseq:1.6.1,bismark_align,i3.xlarge,22.0
nfcore/methylseq:1.6.1,bismark_align,i3.large,24.0
nfcore/methylseq:1.6.1,bismark_methXtract,m5zn.2xlarge,7.0
nfcore/methylseq:1.6.1,bismark_methXtract,m5zn.xlarge,4.0
nfcore/methylseq:1.6.1,bismark_methXtract,c5.2xlarge,6.0
nfcore/methylseq:1.6.1,bismark_methXtract,m5zn.large,1.0
