wfName,taskName,nodeName,rank
nfcore/sarek:2.7.1,ApplyBQSR,c5.2xlarge,1.0
nfcore/sarek:2.7.1,ApplyBQSR,c5a.xlarge,2.0
nfcore/sarek:2.7.1,ApplyBQSR,c5a.2xlarge,3.0
nfcore/sarek:2.7.1,ApplyBQSR,m5zn.large,4.0
nfcore/sarek:2.7.1,ApplyBQSR,m5zn.2xlarge,5.0
nfcore/sarek:2.7.1,ApplyBQSR,c5.xlarge,6.0
nfcore/sarek:2.7.1,ApplyBQSR,m5zn.xlarge,7.0
nfcore/sarek:2.7.1,ApplyBQSR,z1d.2xlarge,8.0
nfcore/sarek:2.7.1,ApplyBQSR,z1d.xlarge,9.0
nfcore/sarek:2.7.1,ApplyBQSR,z1d.large,10.0
nfcore/sarek:2.7.1,ApplyBQSR,d3.xlarge,11.0
nfcore/sarek:2.7.1,ApplyBQSR,d3.2xlarge,12.0
nfcore/sarek:2.7.1,ApplyBQSR,m5.large,13.0
nfcore/sarek:2.7.1,ApplyBQSR,r5.2xlarge,14.0
nfcore/sarek:2.7.1,ApplyBQSR,m5.2xlarge,15.0
nfcore/sarek:2.7.1,ApplyBQSR,m5.xlarge,16.0
nfcore/sarek:2.7.1,ApplyBQSR,r5.xlarge,17.0
nfcore/sarek:2.7.1,ApplyBQSR,r5.large,18.0
nfcore/sarek:2.7.1,ApplyBQSR,m5a.large,19.0
nfcore/sarek:2.7.1,ApplyBQSR,r5a.large,20.0
nfcore/sarek:2.7.1,ApplyBQSR,m5a.xlarge,21.0
nfcore/sarek:2.7.1,ApplyBQSR,r5a.xlarge,22.0
nfcore/sarek:2.7.1,ApplyBQSR,m5a.2xlarge,23.0
nfcore/sarek:2.7.1,ApplyBQSR,i3.2xlarge,24.0
nfcore/sarek:2.7.1,ApplyBQSR,r5a.2xlarge,25.0
nfcore/sarek:2.7.1,ApplyBQSR,i3.large,26.0
nfcore/sarek:2.7.1,ApplyBQSR,i3.xlarge,27.0
nfcore/sarek:2.7.1,BamQC,m5zn.2xlarge,1.0
nfcore/sarek:2.7.1,BamQC,c5.2xlarge,2.0
nfcore/sarek:2.7.1,BamQC,m5zn.large,3.0
nfcore/sarek:2.7.1,BamQC,c5.xlarge,4.0
nfcore/sarek:2.7.1,BamQC,m5zn.xlarge,5.0
nfcore/sarek:2.7.1,BamQC,z1d.2xlarge,6.0
nfcore/sarek:2.7.1,BamQC,c5a.xlarge,7.0
nfcore/sarek:2.7.1,BamQC,c5a.2xlarge,8.0
nfcore/sarek:2.7.1,BamQC,z1d.large,9.0
nfcore/sarek:2.7.1,BamQC,z1d.xlarge,10.0
nfcore/sarek:2.7.1,BamQC,d3.2xlarge,11.0
nfcore/sarek:2.7.1,BamQC,r5.2xlarge,12.0
nfcore/sarek:2.7.1,BamQC,m5.2xlarge,13.0
nfcore/sarek:2.7.1,BamQC,d3.xlarge,14.0
nfcore/sarek:2.7.1,BamQC,m5.large,15.0
nfcore/sarek:2.7.1,BamQC,r5.large,16.0
nfcore/sarek:2.7.1,BamQC,m5.xlarge,17.0
nfcore/sarek:2.7.1,BamQC,r5.xlarge,18.0
nfcore/sarek:2.7.1,BamQC,i3.2xlarge,19.0
